company_name	previous_class	process_fit_class	process_fit_reason	website	states_seen
APCOA Austria GmbH	E_ADJACENT_30_PLUS	SECONDARY_PROCESS_TARGET	large parking operator with back-office/customer/billing automation potential, but not sufficiently close to Hausverwaltung workflows	http://www.apcoa.at/	wien
at home FM Services GmbH	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	facility management / recurring building operations and back-office workflows		wien
BOE Gebäudemanagement Gesellschaft m.b.H.	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	commercial/technical property management, accounting, operating-cost allocation, contracts and tenant/owner workflows	http://www.boe-parking.at/	tirol | wien
CBRE GmbH	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	large property/facility management platform with recurring real-estate back-office processes	http://www.cbre.at/	wien
Erste Group Immorent GmbH	E_ADJACENT_30_PLUS	SECONDARY_PROCESS_TARGET	large real-estate finance/leasing platform; automation potential is strong but process set is less Hausverwaltung-like	https://www.erstegroupimmorent.com/	wien
GBG Gebäude- und Baumanagement Graz GmbH	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	large building-management operator with technical and administrative property processes	http://www.gbg.graz.at/	steiermark
International Campus Austria GmbH	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	large student-housing operator with tenant, property and facility operations		wien
McArthurGlen Management Gesellschaft m.b.H.	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	shopping-centre management with tenant, service-charge, facility and operational workflows		burgenland | salzburg
Porsche Immobilien Gesellschaft m.b.H.	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	large in-house real-estate/facility operator with maintenance, contractor and property administration processes		salzburg
REIWAG Facility Services GmbH	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	large facility/property services operator with recurring back-office and building processes	http://www.reiwag.com/	wien
SEE.HAUS Weiden Betriebs GmbH	E_ADJACENT_30_PLUS	EXCLUDE_PROCESS_MISMATCH	operating business is hospitality/accommodation rather than property administration		burgenland
SES Center Management GmbH	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	multi-site shopping-centre management with tenant, facility and commercial administration workflows		kärnten | niederösterreich | oberösterreich | salzburg | steiermark | tirol | wien
Supernova Invest GmbH	E_ADJACENT_30_PLUS	ADD_TO_SALES_POOL	active asset and centre management; commercial/technical management and tenant workflows		steiermark
