no	company_name	stage3_scope	management	immediate_owners	ownership_pct	ultimate_control	ownership_type	primary_dm	primary_dm_role	primary_dm_reason	curated_source_url	confidence	review_note
34	Wohnbau 2000 Gesellschaft mbH	MAIN	Jörg Rigger	Jörg Rigger; Janine Karlsböck	Jörg Rigger 92%; Janine Karlsböck 8%	Jörg Rigger	INDIVIDUAL_FAMILY_CONTROL	Jörg Rigger	Owner / Geschäftsführer	92% controlling owner and current GF	https://www.evi.gv.at/f/81674i	MEDIUM_HIGH	92% majority established in public registry/business-data review; residual 8% follows complete two-shareholder structure
35	BOE Gebäudemanagement Gesellschaft m.b.H.	MAIN	Manfred Mayer; Karl Ispas	Concordia Park Garagen GmbH	100% sole shareholder	Concordia/BOE group	CORPORATE_GROUP	Manfred Mayer; Karl Ispas	Geschäftsführer	Corporate parent; current local GFs are operational targets	https://www.evi.gv.at/f/33879y	HIGH	Current March 2026 management
36	GSA Wohnbauträger GmbH	MAIN	Christian Haidinger	Familienwohnbau gemeinnützige Bau- und Siedlungsgesellschaft; BAUSPARERHEIM gemeinnützige Wohnungsgenossenschaft; GSA Genossenschaft; Salzburger Siedlungswerk	Not publicly shown in free EVI	Institutional housing-owner consortium	CORPORATE_GROUP	Christian Haidinger	Geschäftsführer	Fragmented institutional ownership; sole current GF is operational DM	https://www.evi.gv.at/f/386661w	HIGH	Current public Firmenbuch
37	ista Österreich GmbH	MAIN	Jan Oliver Schlodder; Friedrich Paprotka	ista SE	100% sole shareholder	ista group	CORPORATE_GROUP	Jan Oliver Schlodder; Friedrich Paprotka	Geschäftsführer	International corporate owner; Austrian GFs are actionable layer	https://www.ista.com/at/	MEDIUM_HIGH	Current public company/registry research
38	PRISMA Zentrum für Standort- und Regionalentwicklung GmbH	MAIN	DI Bernhard Ölz	PRISMA Holding AG	100% sole shareholder	PRISMA group	CORPORATE_GROUP	Bernhard Ölz	Geschäftsführer	Sole corporate owner; longstanding group executive is best first outreach	https://www.evi.gv.at/f/541619z	HIGH	Current public Firmenbuch
39	Unibail-Rodamco Austria Verwaltungs GmbH	MAIN	Jakub Skwarlo; Paul Douay	URW Invest GmbH	100%	Unibail-Rodamco-Westfield group	CORPORATE_GROUP	Jakub Skwarlo; Paul Douay	Geschäftsführer	International group ownership; Austria management is relevant decision layer	https://www.urw.com/	HIGH	Current registry research and 100% parent structure
40	be real Immobilienmanagement GmbH	MAIN	Lukas Eybel	Lukas Eybel BeteiligungsgmbH	100% sole shareholder	Lukas Eybel via personal holding	INDIVIDUAL_FAMILY_CONTROL	Lukas Eybel	Owner-controller / Geschäftsführer	Sole parent is his named holding and he is operating GF	https://www.evi.gv.at/f/152672v	HIGH	Current public Firmenbuch
41	GRAWE Immo AG	MAIN	Kristijan Agatic; Manfred Stranz; Stefan Höhn	GRAWE group / AG shareholder structure	AG shareholder percentages not listed in free Firmenbuch	GRAWE Versicherungsgruppe	CORPORATE_GROUP	Kristijan Agatic; Manfred Stranz; Stefan Höhn	Vorstand	Group-owned AG; current Vorstand is operational decision layer	https://www.grawe-immo.at/	MEDIUM_HIGH	Current Vorstand confirmed in public corporate/registry research
42	International Campus Austria GmbH	MAIN	Gerhard Hrabik; Wolfgang Quirchmayr	International Campus Group Sàrl	100%	International Campus Group	CORPORATE_GROUP	Gerhard Hrabik; Wolfgang Quirchmayr	Geschäftsführer	100% international parent; Austrian GFs are first outreach	https://www.the-fizz.com/	MEDIUM_HIGH	Current public registry/business data
43	Porsche Immobilien Gesellschaft m.b.H.	MAIN	Wilhelm Felix Strigl; Christian Häupl	Porsche Holding Gesellschaft m.b.H.	100% sole shareholder	Porsche Holding / Volkswagen group	CORPORATE_GROUP	Wilhelm Felix Strigl; Christian Häupl	Geschäftsführer	Large group ownership; local property executives are relevant	https://www.porsche-holding.com/	MEDIUM_HIGH	Current public registry research
